id,name,host_name,neighbourhood,latitude,longitude,bedrooms,bathrooms,square_feet,property_type,room_type,guests_included,extra_people,minimum_nights,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,last_review,reviews_per_month,price,cleaning_fee,security_deposit,monthly_revenue
33292153,Lower Nob Hill,Rick,Downtown,37.78888,-122.41316,1.0,1.0,,Apartment,Private room,2,50.0,2,0,0,0,35,100.0,2019-09-30,5.61,85.0,10.0,0.0,5245.35
33296068,NEW! Private Bedroom with En Suite Bath Downtown,Santos,Downtown,37.788109999999996,-122.41501000000001,1.0,1.0,,Apartment,Private room,1,7.0,1,13,69,74,27,98.0,2019-07-22,4.01,199.0,30.0,0.0,8777.89
33310899,Charming 1 BDRM Unit,Roby,Mission District,37.76355,-122.42572,1.0,1.0,,Guest suite,Entire home/apt,2,0.0,30,25,85,360,15,99.0,2019-06-15,2.37,128.0,100.0,0.0,3336.96
33315003,The ultimate stay for groups and families!,Jered And Carly,Mission District,37.75075,-122.41686000000001,4.0,1.5,,Apartment,Entire home/apt,5,25.0,1,5,15,98,42,97.0,2019-10-09,7.12,275.0,198.0,0.0,21538.000000000004
33316756,Sunny Room in Newly Remodeled Flat,Esmeralda,Richmond District,37.77852,-122.47583999999999,1.0,1.5,,Apartment,Private room,1,20.0,2,15,65,245,20,100.0,2019-09-30,5.31,89.0,50.0,250.0,5198.49
33341233,Downtown Collection | Double Room (Male),Natalie,Tenderloin,37.78542,-122.4102,1.0,1.0,,Hostel,Hotel room,1,0.0,32,29,89,364,1,60.0,2019-08-10,0.45,36.0,189.0,250.0,178.20000000000002
33346622,Lovely Bedroom - Heart of the Mission District!,Anthony,Mission District,37.75898,-122.41483999999998,1.0,1.0,,Apartment,Private room,1,16.0,1,21,21,21,17,98.0,2019-09-29,2.77,120.0,36.0,0.0,3656.3999999999996
33364533,Potrero Hill Garden View Apartment,Margot,Potrero Hill,37.7557,-122.40028000000001,2.0,1.0,,House,Entire home/apt,4,20.0,30,12,61,315,3,87.0,2019-08-12,0.58,205.0,200.0,0.0,1307.9
33365567,San Francisco - Cole Valley,Nancy,Cole Valley,37.76463,-122.44865,1.0,1.0,,House,Private room,1,20.0,1,22,79,169,42,99.0,2019-10-08,6.56,120.0,15.0,0.0,8659.199999999999
33371894,Downtown Collection | Quadruple Female Room IV,Natalie,Union Square,37.78457,-122.4093,1.0,1.0,,Hostel,Hotel room,1,0.0,32,30,90,365,1,40.0,2019-06-01,0.22,19.0,189.0,250.0,45.98
33372601,Beautiful 3BR House in San Francisco,Zeus,Russian Hill,37.79885,-122.41899,3.0,2.5,,Condominium,Entire home/apt,1,0.0,30,9,69,344,1,100.0,2019-08-17,0.51,295.0,395.0,500.0,1654.95
33400358,Sonder | Solaire | Bright Studio + Rooftop,Sonder (San Francisco),South Beach,37.78733,-122.39443,0.0,1.0,,Apartment,Entire home/apt,2,5.0,30,0,50,325,2,100.0,2019-08-14,0.44,148.0,95.0,500.0,716.3199999999999
33400608,N&J Garden Guest House,Jorge & Nicolas,Western Addition/NOPA,37.77737,-122.44476999999999,0.0,1.0,,Guesthouse,Entire home/apt,1,10.0,30,23,83,83,1,100.0,2019-07-23,0.36,145.0,0.0,300.0,574.2
33400825,Sonder | Hayes Valley | Airy Double Room + Lounge,Sonder (San Francisco),Hayes Valley,37.77418,-122.42376000000002,2.0,1.0,,Boutique hotel,Hotel room,4,5.0,2,8,43,260,5,76.0,2019-09-29,0.92,334.0,80.0,400.0,3380.0800000000004
33400949,Sonder | Hayes Valley | Serene Guest Room + Lounge,Sonder (San Francisco),Western Addition/NOPA,37.7757,-122.42216,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,4,50,282,7,94.0,2019-09-29,1.11,218.0,40.0,400.0,2661.78
33401021,Sonder | Hayes Valley | Dreamy Guest Room + Lounge,Sonder (San Francisco),Hayes Valley,37.77531,-122.42376999999999,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,5,39,251,9,96.0,2019-09-19,1.42,216.0,40.0,400.0,3373.9199999999996
33405043,A+ Studio Hotel Style Suite-Heart of Union Square,Michael,Union Square,37.78998,-122.40794,0.0,1.0,,Serviced apartment,Hotel room,1,0.0,2,3,3,12,5,92.0,2019-10-10,0.8,65.0,65.0,0.0,572.0
33420461,Amazing Urban Cottage With Post Card Views,Scott,Telegraph Hill,37.7999,-122.4042,2.0,2.5,,Cottage,Entire home/apt,1,0.0,30,0,0,0,1,100.0,2019-08-14,0.48,195.0,250.0,4500.0,1029.6
33420931,Sonder | Hayes Valley | Lovely Guest Room + Lounge,Sonder (San Francisco),Hayes Valley,37.7744,-122.4218,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,7,60,271,13,77.0,2019-09-24,2.02,184.0,40.0,400.0,4088.4799999999996
33421098,Sonder | Hayes Valley | Bright Guest Room + Lounge,Sonder (San Francisco),Hayes Valley,37.77517,-122.42218999999999,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,5,40,253,5,100.0,2019-09-16,0.79,195.0,40.0,400.0,1694.5500000000002
33421279,Sonder | Hayes Valley | Lively Guest Room + Lounge,Sonder (San Francisco),Western Addition/NOPA,37.77512,-122.42388000000001,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,6,54,251,12,85.0,2019-09-17,1.93,227.0,40.0,400.0,4819.21
33421281,Sonder | Hayes Valley | Cozy Double Room + Lounge,Sonder (San Francisco),Hayes Valley,37.775729999999996,-122.42315,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,11,61,290,8,97.0,2019-09-20,2.47,288.0,40.0,400.0,7824.960000000001
33421288,Sonder | Hayes Valley | Sunny Guest Room + Lounge,Sonder (San Francisco),Hayes Valley,37.77381,-122.42183999999999,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,10,66,263,4,90.0,2019-09-11,1.1,242.0,95.0,400.0,2928.2000000000003
33421484,Sonder | Hayes Valley | Modern Guest Room + Lounge,Sonder (San Francisco),Hayes Valley,37.775240000000004,-122.42175,1.0,1.0,,Boutique hotel,Private room,2,5.0,2,4,41,255,9,91.0,2019-09-08,1.41,197.0,95.0,400.0,3055.47
33425094,Contemporary Nob Hill 3 Bedroom!,James,Nob Hill,37.796440000000004,-122.41308000000001,3.0,2.0,,Serviced apartment,Hotel room,3,25.0,30,30,63,63,1,40.0,2019-05-14,0.19,289.0,405.0,800.0,604.01
33431036,SOMA apartment San Francisco 7th Street,Aminah,SoMa,37.77874,-122.41065,0.0,1.0,,Apartment,Entire home/apt,1,0.0,30,29,89,364,1,100.0,2019-05-11,0.19,87.0,0.0,0.0,181.82999999999998
33446174,NEW! Private Room with Private Bath Downtown SF,Santos,Downtown,37.78872,-122.41346999999999,1.0,1.0,,Apartment,Private room,1,7.0,1,10,58,63,9,93.0,2019-09-25,1.38,199.0,30.0,0.0,3020.82
33451515,Queen Room in Creative Castro/Mission Apartment,Gabrielle,Mission District,37.766490000000005,-122.42698999999999,1.0,1.0,,Apartment,Private room,1,10.0,30,3,40,130,1,100.0,2019-07-03,0.29,85.0,140.0,0.0,271.15
33452479,2BR Dreamforce Oasis 10 mins to Moscone Center!,Jill,SoMa,37.7715,-122.4136,2.0,2.0,,Apartment,Entire home/apt,2,20.0,2,0,9,9,10,98.0,2019-08-12,2.0,449.0,125.0,250.0,9878.0
33453976,Haas Living Dog Patch Commuter Home,Peter,Dogpatch,37.7558,-122.39206999999999,1.0,2.0,,Apartment,Entire home/apt,1,50.0,30,13,73,73,1,100.0,2019-08-01,0.4,47.0,40.0,0.0,206.8
33457138,Spacious Bedroom w/ Private Bath & Private Entry,Yuca,The Castro,37.76245,-122.44192,1.0,1.0,,Condominium,Private room,1,0.0,2,9,61,151,47,100.0,2019-10-07,7.27,145.0,50.0,400.0,11595.65
