,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Price,Longitude,Latitude,Price per sqft,Price per lot sqft
4149,3352,2200 Lynbrook Dr,Pittsburg,94565,4,2.0,1518,0.149,1979,2,399000,-121.876271,38.00872,262.8458498023716,61.47503096862463
4150,3940,2200 Lynbrook Dr,Pittsburg,94565,4,2.0,1518,0.149,1979,2,399000,-121.876271,38.00872,262.8458498023716,61.47503096862463
4151,4082,2200 Lynbrook Dr,Pittsburg,94565,4,2.0,1518,0.149,1979,2,399000,-121.876271,38.00872,262.8458498023716,61.47503096862463
4152,1818,2512 Lindberg Street,Antioch,94509,3,1.0,928,0.112,1938,1,299900,-121.808035,37.99928255,323.1681034482759,61.47104158467796
4153,2673,11753 Cranford Way,Oakland,94605,3,2.5,2087,0.28,1966,2,749000,-122.13152990000002,37.73521974,358.8883564925731,61.409550045913676
4154,2590,3643 N Willow Rd,Bethel Island,94511,4,3.0,2909,0.215,1979,0,575000,-121.6304272,38.04045882,197.66242695084225,61.39620304525168
4155,55,325 Miller Ct,Orinda,94563,5,4.0,3939,1.01,2014,2,2698000,0.0,0.0,684.9454176186848,61.32431424960678
4156,2454,325 Miller Ct,Orinda,94563,5,4.0,3939,1.01,2014,2,2698000,0.0,0.0,684.9454176186848,61.32431424960678
4157,2360,3364 Deer Hollow Dr,Danville,94506,5,3.5,4644,0.88,1989,3,2349000,0.0,0.0,505.81395348837214,61.27911344853493
4158,2418,1735 6th St,Concord,94519,2,1.0,902,0.201,1949,1,535000,-122.0187639,37.97627505,593.1263858093126,61.104029896431506
4159,1192,1063 Woodview Pl,San Jose,95120,5,4.5,4500,0.939,1980,3,2498000,-121.8410345,37.20769129999999,555.1111111111112,61.07155395566664
4160,2157,36 Valley View Ct,Danville,94526,4,2.5,2200,0.47,1960,2,1249000,-122.0043554,37.82949113,567.7272727272727,61.006584217415956
4161,2570,998 Baypoint Way,Rodeo,94572,3,2.0,1203,0.207,1975,2,550000,0.0,0.0,457.190357439734,60.996437808032006
4162,2245,1046 Brown Ave,Lafayette,94549,4,2.5,1900,0.45,1978,2,1195000,-122.1107145,37.89694106,628.9473684210526,60.96316702377308
4163,4329,3303 Trisha Way,Stockton,95206,4,2.0,1329,0.13,2006,2,344998,-121.2534838,37.922044,259.5921745673439,60.923571378116826
4164,2389,51 Hillcroft Way,Walnut Creek,94597,4,3.0,3062,0.66,1997,2,1750000,0.0,0.0,571.5218811234487,60.87041211008152
4165,2644,51 Hillcroft Way,Walnut Creek,94597,4,3.0,3062,0.66,1997,2,1750000,0.0,0.0,571.5218811234487,60.87041211008152
4166,1846,2004 Cavallo Road,Antioch,94509,7,5.0,2879,0.241,2002,4,639000,-121.7968486,38.00141054,221.95206668982289,60.86896882822948
4167,2246,959 Sunnyhill Road,Lafayette,94549,5,4.5,5100,1.21,1990,3,3195000,0.0,0.0,626.4705882352941,60.617444163650035
4168,4687,160 Buena Vista Ave,Boulder Creek,95006,3,2.0,1869,0.273,1938,0,719000,0.0,0.0,384.69769930444085,60.46142409778772
4169,3673,344 Alden Ln,Livermore,94550,4,2.0,2699,0.57,1952,2,1500000,-121.7973987,37.65606902,555.7613931085588,60.412739838577174
4170,3795,1626 Illinois St,Vallejo,94590,3,1.0,2188,0.19,1935,1,499000,-122.2388889,38.11183653,228.06215722120655,60.2919143589
4171,3976,1626 Illinois St,Vallejo,94590,3,1.0,2188,0.19,1935,1,499000,-122.2388889,38.11183653,228.06215722120655,60.2919143589
4172,916,16379 Aztec Ridge Dr,Los Gatos,95030,5,4.5,4568,1.294,2006,3,3395000,-121.9611682,37.20801901,743.2136602451839,60.23066125637434
4173,4644,16379 Aztec Ridge Dr,Los Gatos,95030,5,4.5,4568,1.294,2006,3,3395000,-121.9611682,37.20801901,743.2136602451839,60.23066125637434
4174,2292,102 Kelobra Ct,Walnut Creek,94598,3,2.0,2121,0.358,1965,2,939000,0.0,0.0,442.7157001414427,60.21361404804777
4175,59,1 Sycamore Road,Orinda,94563,5,4.5,3977,1.24,1941,2,3250000,-122.179397,37.906386,817.1988936384208,60.16914008116354
4176,2458,1 Sycamore Road,Orinda,94563,5,4.5,3977,1.24,1941,2,3250000,-122.179397,37.906386,817.1988936384208,60.16914008116354
4177,162,840 Lanini Dr,Hollister,95023,3,2.0,1900,0.23,1986,2,600000,0.0,0.0,315.7894736842105,59.887411666067784
