Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
895 46th Ave,San Francisco,CA,94121,1690000,6,3,2258,1307,37.771679,-122.506916
663 22nd Ave,San Francisco,CA,94121,2950000,4,6,3425,3049,37.775259,-122.481491
763 45th Ave,San Francisco,CA,94121,1000000,2,2,1285,3049,37.774133,-122.506129
882 37th Ave,San Francisco,CA,94121,1199000,2,1,1565,2178,37.77235,-122.496814
810 42nd Ave,San Francisco,CA,94121,1328000,3,3.5,1695,2178,37.77334,-122.502228
762 48th Ave,San Francisco,CA,94121,1530000,4,3,2130,3049,37.774003,-122.508677
546 33rd Ave,San Francisco,CA,94121,1798000,5,5,1975,3049,37.778759,-122.49291
571 34th Ave,San Francisco,CA,94121,1298000,2,1,1446,3049,37.778269,-122.494608
635 24th Ave,San Francisco,CA,94121,1695000,3,2,,3049,37.777478,-122.483801
463 27th Ave,San Francisco,CA,94121,2000000,5,3,2282,3001,37.780737,-122.487261
494-498 35th Ave,San Francisco,CA,94121,2098000,4,3.5,,3049,37.779914,-122.495296
801 38th Ave,San Francisco,CA,94121,1750000,7,3,2983,2178,37.773645,-122.498524
723 43rd Ave,San Francisco,CA,94121,1450000,2,1,1300,3049,37.774917,-122.504038
794 48th Ave,San Francisco,CA,94121,1195000,3,2,1180,1742,37.77347,-122.508744
595 44th Ave,San Francisco,CA,94121,1850000,4,3,2200,2178,37.777367,-122.505242
667 32nd Ave,San Francisco,CA,94121,1199000,2,1,1620,3049,37.776565,-122.492333
1358 42nd Ave,San Francisco,CA,94122,1299999,4,2,1386,3000,37.761385,-122.501365
1242 23rd Ave,San Francisco,CA,94122,1649000,3,1.5,1800,3049,37.764426,-122.481153
1506 41st Ave,San Francisco,CA,94122,1095000,3,2,1464,1742,37.75859,-122.50017
1427 35th Ave,San Francisco,CA,94122,1198000,2,1,1645,2614,37.760376,-122.494413
1583 31st Ave,San Francisco,CA,94122,1395000,2,1,1440,2178,37.757738,-122.489892
1398 19th Ave,San Francisco,CA,94122,2349000,5,4,2610,1742,37.761854,-122.47674
1255 38th Ave,San Francisco,CA,94122,1395000,3,2,1640,3049,37.763479,-122.497871
1782 29th Ave,San Francisco,CA,94122,888000,3,2,1575,1742,37.754122,-122.486987
1766 32nd Ave,San Francisco,CA,94122,2488000,4,4,4212,2997,37.754269,-122.490116
1539 41st Ave,San Francisco,CA,94122,1295000,2,2.5,1545,3049,37.758022,-122.500711
1846 38th Ave,San Francisco,CA,94122,1100000,2,1,1301,2997,37.752417,-122.496439
1828 29th Ave,San Francisco,CA,94122,1068000,2,1,1162,3049,37.753161,-122.486812
1559 32nd Ave,San Francisco,CA,94122,1348888,2,2.5,2472,3049,37.758105,-122.491044
1917 Judah St,San Francisco,CA,94122,1100000,2,1.5,1000,2614,37.761198,-122.482784
1679 21st Ave,San Francisco,CA,94122,1780000,4,4.5,2309,3049,37.756419,-122.479102
1483 19th Ave,San Francisco,CA,94122,1100000,3,2,1495,2326,37.760172,-122.477179
1839 40th Ave,San Francisco,CA,94122,998000,3,2,,3049,37.752472,-122.499247
1622 39th Ave,San Francisco,CA,94122,1588000,4,3,1725,3049,37.756556,-122.4978
1578 34th Ave,San Francisco,CA,94122,1488000,4,2,1682,3049,37.757691,-122.492507
4021 Kirkham St,San Francisco,CA,94122,975000,2,2,825,2614,37.758387,-122.504086
1663 26th Ave,San Francisco,CA,94122,1299000,3,3,1700,43560,37.756457,-122.484481
1547 20th Ave,San Francisco,CA,94122,1300000,2,1,1304,3485,37.758884,-122.478202
1883 40th Ave,San Francisco,CA,94122,998000,3,2,1214,2178,37.751719,-122.499152
1866 23rd Ave,San Francisco,CA,94122,1500000,2,1,1500,3049,37.752826,-122.480344
2820 Scott St,San Francisco,CA,94123,27500000,7,11,16000,6970,37.795901,-122.439947
3107 Franklin St,San Francisco,CA,94123,3890000,3,5,,,37.803172,-122.426896
3733 Broderick St,San Francisco,CA,94123,5795000,4,3.5,4341,5227,37.804793,-122.445874
3624 Scott St,San Francisco,CA,94123,3495000,3,3.5,,2508,37.803433,-122.441682
2833 Vallejo St,San Francisco,CA,94123,19000000,4,6.5,6050,3485,37.793825,-122.443872
3560 Baker St,San Francisco,CA,94123,8750000,5,4.5,6055,3920,37.804107,-122.446782
2265 Union St,San Francisco,CA,94123,4900000,4,2.5,3545,3485,37.796672,-122.436514
2536 Greenwich St,San Francisco,CA,94123,8455000,4,6.5,6016,4356,37.798523,-122.441491
2290 Green St,San Francisco,CA,94123,6750000,5,4.5,4198,2614,37.79622,-122.436655
154 Alhambra St,San Francisco,CA,94123,2495000,2,1,2164,3485,37.802181,-122.439086
3520 Baker St,San Francisco,CA,94123,6749000,4,3.5,,,37.803632,-122.446686
2816 Laguna St,San Francisco,CA,94123,3995000,4,3.5,2934,,37.797417,-122.430204
1974 Filbert St,San Francisco,CA,94123,5250000,4,3,3670,2614,37.798773,-122.432024
1815 Vallejo St,San Francisco,CA,94123,4895000,5,3,3600,6534,37.796013,-122.427263
1906 Greenwich St,San Francisco,CA,94123,2995000,4,2,2346,,37.799754,-122.43142
2008 Vallejo St,San Francisco,CA,94123,5000000,5,3,,3485,37.796069,-122.430538
1650 Bay St,San Francisco,CA,94123,2995000,3,2.5,2399,2178,37.803198,-122.434241
114 Bridgeview Dr,San Francisco,CA,94124,899000,3,2,1475,3049,37.735102,-122.395737
1262 Quesada Ave,San Francisco,CA,94124,749000,3,2,1356,2614,37.728922,-122.383124
84 Exeter St,San Francisco,CA,94124,699000,3,2.5,1840,2614,37.721674,-122.399157
1641-1643 Palou Ave,San Francisco,CA,94124,899000,5,3.5,1565,2614,37.734288,-122.391988
1421 Ingalls St,San Francisco,CA,94124,1099000,5,3.5,2908,3920,37.729995,-122.382904
11 Carpenter Ct,San Francisco,CA,94124,1248888,3,2.5,1838,3485,37.734915,-122.385281
1091-1095 Gilman Ave,San Francisco,CA,94124,899000,3,1,3700,2614,37.719021,-122.390066
1119 Hollister Ave,San Francisco,CA,94124,1150000,4,3,1700,2614,37.719752,-122.393021
1426 Underwood Ave,San Francisco,CA,94124,799995,5,2,1596,3349,37.728185,-122.388488
